player_name,pitcher,season,pitch_type,pitch_group,n_pitches,stuff_plus
"Cruz, Fernando",518585,2026,FS,offspeed,206,120.3
"Gausman, Kevin",592332,2026,FS,offspeed,428,117.3
"Hoffman, Jeff",656546,2026,FS,offspeed,109,108.9
"Estrada, Jeremiah",669093,2026,FS,offspeed,99,108.0
"Bradley, Taj",671737,2026,FS,offspeed,198,107.6
"Imanaga, Shota",684007,2026,FS,offspeed,395,107.1
"Griffin, Foster",656492,2026,FS,offspeed,71,106.9
"Bachar, Lake",669199,2026,FS,offspeed,54,106.8
"Bednar, David",670280,2026,FS,offspeed,156,105.6
"Soriano, José",667755,2026,FS,offspeed,184,105.5
"Orze, Eric",679358,2026,FS,offspeed,253,103.4
"Mahle, Tyler",641816,2026,FS,offspeed,253,102.9
"Yesavage, Trey",702056,2026,FS,offspeed,179,102.8
"Eovaldi, Nathan",543135,2026,FS,offspeed,372,102.3
"Leiter Jr., Mark",643410,2026,FS,offspeed,132,102.2
"Borucki, Ryan",621366,2026,FS,offspeed,51,101.9
"Kremer, Dean",665152,2026,FS,offspeed,97,101.9
"Yamamoto, Yoshinobu",808967,2026,FS,offspeed,288,101.5
"Gilbert, Logan",669302,2026,FS,offspeed,153,101.3
"García, Luis",472610,2026,FS,offspeed,83,100.9
"Skenes, Paul",694973,2026,FS,offspeed,130,100.9
"Sasaki, Roki",808963,2026,FS,offspeed,152,100.7
"Domínguez, Seranthony",622554,2026,FS,offspeed,53,100.6
"Ohtani, Shohei",660271,2026,FS,offspeed,103,100.3
"Pagán, Emilio",641941,2026,FS,offspeed,57,100.0
"Ryan, Joe",657746,2026,FS,offspeed,120,99.4
"Winn, Cole",668390,2026,FS,offspeed,59,99.2
"Hart, Kyle",606996,2026,FS,offspeed,65,98.6
"Rea, Colin",607067,2026,FS,offspeed,184,98.4
"Yates, Kirby",489446,2026,FS,offspeed,50,98.4
"Agnos, Zach",688642,2026,FS,offspeed,66,98.3
"Stanek, Ryne",592773,2026,FS,offspeed,61,97.9
"Duran, Jhoan",661395,2026,FS,offspeed,141,97.8
"Finnegan, Kyle",640448,2026,FS,offspeed,139,97.8
"Kikuchi, Yusei",579328,2026,FS,offspeed,125,97.1
"Smith, Cade",671922,2026,FS,offspeed,131,97.1
"Phillips, Tyler",663969,2026,FS,offspeed,143,96.7
"Woods Richardson, Simeon",680573,2026,FS,offspeed,234,96.6
"Mlodzinski, Carmen",669387,2026,FS,offspeed,258,96.5
"Young, Brandon",687064,2026,FS,offspeed,121,96.3
"Sugano, Tomoyuki",608372,2026,FS,offspeed,193,96.0
"Johnson, Ryan",696270,2026,FS,offspeed,72,94.5
"Scholtens, Jesse",669947,2026,FS,offspeed,66,94.4
"Mize, Casey",663554,2026,FS,offspeed,205,94.2
"Littell, Zack",641793,2026,FS,offspeed,185,94.1
"Quantrill, Cal",615698,2026,FS,offspeed,67,93.8
"Myers, Tobias",668964,2026,FS,offspeed,112,93.5
"Silseth, Chase",681217,2026,FS,offspeed,149,92.6
"Wheeler, Zack",554430,2026,FS,offspeed,82,92.5
"Painter, Andrew",691725,2026,FS,offspeed,112,92.3
"Cano, Yennier",666974,2026,FS,offspeed,85,90.7
"Civale, Aaron",650644,2026,FS,offspeed,66,89.7
"Winn, Keaton",676775,2026,FS,offspeed,186,89.0
"Walker, Taijuan",592836,2026,FS,offspeed,110,80.9
